benchmark_class,method,param_degree,param_size,score_ns_op,error_ns_op,cpu_atom/L1-dcache-loads/,cpu_atom/L1-dcache-stores/,cpu_atom/L1-icache-load-misses/,cpu_atom/LLC-load-misses/,cpu_atom/LLC-loads/,cpu_atom/LLC-store-misses/,cpu_atom/LLC-stores/,cpu_atom/branch-misses/,cpu_atom/branches/,cpu_atom/cycles/,cpu_atom/dTLB-load-misses/,cpu_atom/dTLB-loads/,cpu_atom/dTLB-store-misses/,cpu_atom/dTLB-stores/,cpu_atom/iTLB-load-misses/,cpu_atom/instructions/,cpu_core/L1-dcache-loads/,cpu_core/L1-dcache-stores/,cpu_core/L1-icache-load-misses/,cpu_core/LLC-load-misses/,cpu_core/LLC-loads/,cpu_core/LLC-store-misses/,cpu_core/LLC-stores/,cpu_core/branch-misses/,cpu_core/branches/,cpu_core/cycles/,cpu_core/dTLB-load-misses/,cpu_core/dTLB-loads/,cpu_core/dTLB-store-misses/,cpu_core/dTLB-stores/,cpu_core/iTLB-load-misses/,cpu_core/instructions/
ConcurrentBenchmark,bPlusTreeConcurrentInsert,4,1000,17692.604,11395.705,2733.405,1079.352,68.154,0.002,10.147,0.001,1.999,14.275,2307.522,5115.474,1.711,1819.388,0.070,919.322,21.919,9319.617,6595.580,2561.364,78.667,0.100,13.486,0.007,7.924,15.862,7154.950,10671.342,0.267,6618.070,0.070,2569.340,0.437,24260.960
ConcurrentBenchmark,bPlusTreeConcurrentInsert,4,50000,13406.402,4791.974,1759.807,752.017,102.133,0.003,13.817,0.013,3.294,17.273,2024.633,5110.328,3.450,1247.159,0.089,704.887,13.006,7195.449,6531.772,2443.164,70.061,0.560,18.923,0.012,6.844,19.623,7515.329,10606.027,0.716,6554.216,0.054,2448.782,0.366,24649.486
ConcurrentBenchmark,bPlusTreeConcurrentInsert,4,1000000,19224.233,5518.686,2451.041,1002.383,102.072,0.005,23.948,10⁻³,2.206,25.590,2333.647,6095.985,4.592,1719.678,0.093,775.570,15.803,8397.465,7800.779,2911.532,99.834,10.652,37.988,0.021,8.066,22.472,9869.087,13990.086,9.283,7955.652,0.082,2939.758,0.745,30691.434
ConcurrentBenchmark,bPlusTreeConcurrentInsert,4,5000000,21951.314,5064.506,5933.012,2192.248,65.727,0.031,39.112,0.124,6.218,26.876,5134.184,13706.748,15.378,4898.520,0.273,2029.123,43.977,20412.778,12040.048,4099.669,149.125,19.479,46.512,0.115,7.862,25.112,12618.169,18662.025,14.022,12251.325,0.103,4115.807,1.240,44517.959
ConcurrentBenchmark,bPlusTreeConcurrentInsert,32,1000,11974.131,1888.784,2632.278,1108.538,25.907,10⁻³,7.144,1.309,2.772,10.585,2446.780,5455.987,3.465,1769.039,0.140,878.366,18.407,8853.132,5714.525,2192.991,59.669,0.070,12.131,0.002,6.827,15.031,5998.832,9397.492,0.240,5743.787,0.055,2196.018,0.279,20725.380
ConcurrentBenchmark,bPlusTreeConcurrentInsert,32,50000,17846.235,16467.697,2219.800,902.790,83.965,0.003,12.961,0.331,3.662,18.866,1954.490,4482.345,2.758,1892.457,0.132,804.858,15.108,7617.555,6077.047,2301.456,80.208,0.199,15.303,0.007,6.684,18.149,6704.319,9883.842,0.455,6153.775,0.043,2313.040,0.469,22570.768
ConcurrentBenchmark,bPlusTreeConcurrentInsert,32,1000000,16384.192,1204.870,3785.649,1497.898,56.576,0.009,23.914,10⁻⁴,3.246,20.693,3698.326,8491.523,4.097,2829.476,0.079,1319.593,31.667,13944.403,8005.608,3019.046,123.581,7.656,34.501,0.003,7.996,23.341,10135.588,13237.621,5.081,8033.046,0.077,3014.082,0.822,31532.938
ConcurrentBenchmark,bPlusTreeConcurrentInsert,32,5000000,19182.031,2930.841,6208.866,2268.103,50.545,0.049,34.711,0.058,7.646,25.659,5746.151,12633.153,9.666,5140.614,0.235,1992.511,40.544,21180.015,11589.803,4069.353,135.489,17.846,47.596,0.078,8.640,28.263,12747.937,18191.315,10.925,11674.916,0.099,4086.826,0.989,43373.517
ConcurrentBenchmark,bPlusTreeConcurrentInsert,128,1000,10644.457,1427.468,1895.210,802.899,88.380,0.002,10.680,0.353,3.061,20.016,1640.439,4944.624,3.497,1031.959,0.164,578.928,13.628,6491.163,5717.362,2191.669,51.991,0.078,12.095,0.012,7.003,14.976,5982.957,9457.700,0.151,5713.821,0.045,2192.426,0.233,20709.850
ConcurrentBenchmark,bPlusTreeConcurrentInsert,128,50000,15272.716,5181.869,3123.741,1268.598,59.052,0.003,13.131,0.602,2.241,17.869,2774.645,6714.510,3.159,2570.999,0.103,1165.596,33.226,10418.258,6957.470,2685.962,120.417,0.259,18.248,0.008,7.245,19.126,7962.741,11002.473,0.552,7037.376,0.061,2703.627,0.529,26307.224
