benchmark_class,method,param_degree,param_size,score_ns_op,error_ns_op,gc.alloc.rate,gc.alloc.rate.norm,gc.count,gc.time
ConstructionBenchmarkNary,bPlusTreeClone,4,1000,0.004,0.001,4836.374,22184.015,116.000,76.000
ConstructionBenchmarkNary,bPlusTreeClone,4,50000,0.344,0.005,3093.687,1116169.191,80.000,60.000
ConstructionBenchmarkNary,bPlusTreeClone,4,1000000,10.155,0.109,2099.675,22360154.980,33.000,81.000
ConstructionBenchmarkNary,bPlusTreeClone,4,5000000,75.273,3.915,1416.436,111794376.474,12.000,102.000
ConstructionBenchmarkNary,bPlusTreeClone,32,1000,0.001,0.001,10471.679,7944.003,216.000,142.000
ConstructionBenchmarkNary,bPlusTreeClone,32,50000,0.036,0.001,9616.023,363304.125,205.000,138.000
ConstructionBenchmarkNary,bPlusTreeClone,32,1000000,1.527,0.061,4512.726,7224797.296,75.000,89.000
ConstructionBenchmarkNary,bPlusTreeClone,32,5000000,11.235,0.740,3060.215,36047486.746,26.000,72.000
ConstructionBenchmarkNary,bPlusTreeClone,128,1000,0.001,0.001,12359.439,8616.002,226.000,155.000
ConstructionBenchmarkNary,bPlusTreeClone,128,50000,0.024,0.001,12133.454,303352.083,196.000,152.000
ConstructionBenchmarkNary,bPlusTreeClone,128,1000000,0.625,0.020,9304.272,6101914.161,105.000,122.000
ConstructionBenchmarkNary,bPlusTreeClone,128,5000000,5.985,0.161,5018.665,31496588.665,40.000,67.000
ConstructionBenchmarkNary,bPlusTreeFromIterable,4,1000,0.079,0.001,338.342,27920.273,16.000,18.000
ConstructionBenchmarkNary,bPlusTreeFromIterable,4,50000,10.227,0.048,132.489,1420947.265,6.000,8.000
ConstructionBenchmarkNary,bPlusTreeFromIterable,4,1000000,567.670,9.743,47.860,28491484.000,3.000,23.000
ConstructionBenchmarkNary,bPlusTreeFromIterable,4,5000000,5207.179,201.335,26.101,142511030.400,10.000,164.000
ConstructionBenchmarkNary,bPlusTreeFromIterable,32,1000,0.064,0.001,117.151,7920.224,5.000,5.000
ConstructionBenchmarkNary,bPlusTreeFromIterable,32,50000,8.182,0.206,44.220,379436.077,2.000,4.000
ConstructionBenchmarkNary,bPlusTreeFromIterable,32,1000000,366.753,10.984,19.573,7527736.533,1.000,3.000
ConstructionBenchmarkNary,bPlusTreeFromIterable,32,5000000,3800.787,71.255,9.403,37475302.400,1.000,9.000
ConstructionBenchmarkNary,bPlusTreeFromIterable,128,1000,0.069,0.001,119.518,8592.238,5.000,8.000
ConstructionBenchmarkNary,bPlusTreeFromIterable,128,50000,7.879,0.211,36.971,305467.017,2.000,2.000
ConstructionBenchmarkNary,bPlusTreeFromIterable,128,1000000,343.256,12.226,17.137,6168506.400,2.000,8.000
ConstructionBenchmarkNary,bPlusTreeFromIterable,128,5000000,3843.486,57.347,7.885,31777971.200,1.000,8.000
ConstructionBenchmarkNary,bTreeClone,4,1000,0.003,0.001,5526.184,19960.012,125.000,79.000
ConstructionBenchmarkNary,bTreeClone,4,50000,0.301,0.004,3060.675,967529.042,98.000,64.000
ConstructionBenchmarkNary,bTreeClone,4,1000000,9.236,0.153,1995.886,19332695.882,37.000,72.000
ConstructionBenchmarkNary,bTreeClone,4,5000000,66.559,1.407,1385.518,96708459.640,30.000,199.000
ConstructionBenchmarkNary,bTreeClone,32,1000,0.001,0.001,11248.871,7912.002,199.000,135.000
ConstructionBenchmarkNary,bTreeClone,32,50000,0.034,0.001,10154.482,361784.118,194.000,140.000
ConstructionBenchmarkNary,bTreeClone,32,1000000,1.317,0.021,5147.076,7107660.580,94.000,96.000
ConstructionBenchmarkNary,bTreeClone,32,5000000,11.041,0.117,3062.315,35458094.062,50.000,119.000
ConstructionBenchmarkNary,bTreeClone,128,1000,0.001,0.001,12600.052,8584.002,203.000,144.000
ConstructionBenchmarkNary,bTreeClone,128,50000,0.023,0.001,12298.398,299032.080,194.000,136.000
ConstructionBenchmarkNary,bTreeClone,128,1000000,0.605,0.012,9543.431,6052570.091,115.000,137.000
ConstructionBenchmarkNary,bTreeClone,128,5000000,5.875,0.034,5086.748,31341180.277,48.000,149.000
ConstructionBenchmarkNary,bTreeFromIterable,4,1000,0.081,0.001,235.886,19960.281,11.000,12.000
ConstructionBenchmarkNary,bTreeFromIterable,4,50000,9.799,0.060,94.149,967561.729,4.000,4.000
ConstructionBenchmarkNary,bTreeFromIterable,4,1000000,523.339,28.575,35.233,19334380.800,1.000,3.000
ConstructionBenchmarkNary,bTreeFromIterable,4,5000000,5188.365,104.685,17.777,96715140.800,5.000,49.000
ConstructionBenchmarkNary,bTreeFromIterable,32,1000,0.086,0.002,87.922,7912.298,4.000,6.000
ConstructionBenchmarkNary,bTreeFromIterable,32,50000,8.318,0.201,41.477,361812.542,2.000,1.000
ConstructionBenchmarkNary,bTreeFromIterable,32,1000000,371.243,26.683,18.264,7108800.533,1.000,2.000
ConstructionBenchmarkNary,bTreeFromIterable,32,5000000,3786.752,74.825,8.931,35464923.200,1.000,10.000
ConstructionBenchmarkNary,bTreeFromIterable,128,1000,0.072,0.003,114.024,8584.249,6.000,9.000
ConstructionBenchmarkNary,bTreeFromIterable,128,50000,8.237,0.229,34.624,299060.340,2.000,3.000
ConstructionBenchmarkNary,bTreeFromIterable,128,1000000,365.212,11.853,15.807,6053715.733,1.000,4.000
ConstructionBenchmarkNary,bTreeFromIterable,128,5000000,3962.309,92.168,7.545,31348040.000,1.000,8.000
