"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlClone","avgt",1,5,0.005443,0.000268,"ms/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlClone:gc.alloc.rate","avgt",1,5,5612.204083,272.985455,"MB/sec",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlClone:gc.alloc.rate.norm","avgt",1,5,32032.018844,0.000989,"B/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlClone:gc.count","avgt",1,5,127.000000,NaN,"counts",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlClone:gc.time","avgt",1,5,96.000000,NaN,"ms",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlClone","avgt",1,5,0.059565,0.002182,"ms/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlClone:gc.alloc.rate","avgt",1,5,5123.143070,186.808471,"MB/sec",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlClone:gc.alloc.rate.norm","avgt",1,5,320032.206422,0.009301,"B/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlClone:gc.count","avgt",1,5,142.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlClone:gc.time","avgt",1,5,96.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlClone","avgt",1,5,0.798550,0.014712,"ms/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlClone:gc.alloc.rate","avgt",1,5,3821.264532,70.367679,"MB/sec",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlClone:gc.alloc.rate.norm","avgt",1,5,3200034.761436,0.044808,"B/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlClone:gc.count","avgt",1,5,94.000000,NaN,"counts",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlClone:gc.time","avgt",1,5,81.000000,NaN,"ms",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlFromIterable","avgt",1,5,0.095757,0.002052,"ms/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlFromIterable:gc.alloc.rate","avgt",1,5,319.003028,6.847822,"MB/sec",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlFromIterable:gc.alloc.rate.norm","avgt",1,5,32032.332510,0.011149,"B/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlFromIterable:gc.count","avgt",1,5,15.000000,NaN,"counts",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlFromIterable:gc.time","avgt",1,5,12.000000,NaN,"ms",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlFromIterable","avgt",1,5,1.797377,0.022701,"ms/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlFromIterable:gc.alloc.rate","avgt",1,5,169.787790,2.135572,"MB/sec",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlFromIterable:gc.alloc.rate.norm","avgt",1,5,320038.235173,0.290191,"B/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlFromIterable:gc.count","avgt",1,5,8.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlFromIterable:gc.time","avgt",1,5,6.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlFromIterable","avgt",1,5,34.778133,2.410753,"ms/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlFromIterable:gc.alloc.rate","avgt",1,5,87.765679,5.973824,"MB/sec",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlFromIterable:gc.alloc.rate.norm","avgt",1,5,3200151.015697,8.312291,"B/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlFromIterable:gc.count","avgt",1,5,4.000000,NaN,"counts",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.avlFromIterable:gc.time","avgt",1,5,4.000000,NaN,"ms",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstClone","avgt",1,5,0.005291,0.000055,"ms/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstClone:gc.alloc.rate","avgt",1,5,4330.904602,44.908363,"MB/sec",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstClone:gc.alloc.rate.norm","avgt",1,5,24032.018320,0.000220,"B/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstClone:gc.count","avgt",1,5,108.000000,NaN,"counts",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstClone:gc.time","avgt",1,5,84.000000,NaN,"ms",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstClone","avgt",1,5,0.092041,0.000821,"ms/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstClone:gc.alloc.rate","avgt",1,5,2486.828508,22.059154,"MB/sec",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstClone:gc.alloc.rate.norm","avgt",1,5,240032.319297,0.009384,"B/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstClone:gc.count","avgt",1,5,84.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstClone:gc.time","avgt",1,5,67.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstClone","avgt",1,5,1.047148,0.015219,"ms/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstClone:gc.alloc.rate","avgt",1,5,2185.582136,31.655708,"MB/sec",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstClone:gc.alloc.rate.norm","avgt",1,5,2400035.627790,0.049730,"B/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstClone:gc.count","avgt",1,5,63.000000,NaN,"counts",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstClone:gc.time","avgt",1,5,59.000000,NaN,"ms",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstFromIterable","avgt",1,5,0.073959,0.000449,"ms/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstFromIterable:gc.alloc.rate","avgt",1,5,309.848680,1.895956,"MB/sec",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstFromIterable:gc.alloc.rate.norm","avgt",1,5,24032.256576,0.006477,"B/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstFromIterable:gc.count","avgt",1,5,15.000000,NaN,"counts",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstFromIterable:gc.time","avgt",1,5,17.000000,NaN,"ms",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstFromIterable","avgt",1,5,1.677246,0.012422,"ms/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstFromIterable:gc.alloc.rate","avgt",1,5,136.471885,1.008773,"MB/sec",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstFromIterable:gc.alloc.rate.norm","avgt",1,5,240037.834066,0.300597,"B/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstFromIterable:gc.count","avgt",1,5,7.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstFromIterable:gc.time","avgt",1,5,6.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstFromIterable","avgt",1,5,30.588575,2.793802,"ms/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstFromIterable:gc.alloc.rate","avgt",1,5,74.853491,6.632891,"MB/sec",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstFromIterable:gc.alloc.rate.norm","avgt",1,5,2400136.816765,11.982303,"B/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstFromIterable:gc.count","avgt",1,5,4.000000,NaN,"counts",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.bstFromIterable:gc.time","avgt",1,5,6.000000,NaN,"ms",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetClone","avgt",1,5,0.007243,0.000060,"ms/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetClone:gc.alloc.rate","avgt",1,5,5279.018078,43.994149,"MB/sec",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetClone:gc.alloc.rate.norm","avgt",1,5,40096.025144,0.000207,"B/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetClone:gc.count","avgt",1,5,113.000000,NaN,"counts",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetClone:gc.time","avgt",1,5,88.000000,NaN,"ms",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetClone","avgt",1,5,0.108475,0.004244,"ms/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetClone:gc.alloc.rate","avgt",1,5,3517.443788,136.856479,"MB/sec",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetClone:gc.alloc.rate.norm","avgt",1,5,400096.376657,0.011541,"B/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetClone:gc.count","avgt",1,5,119.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetClone:gc.time","avgt",1,5,79.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetClone","avgt",1,5,1.350567,0.022839,"ms/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetClone:gc.alloc.rate","avgt",1,5,2824.327944,47.325051,"MB/sec",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetClone:gc.alloc.rate.norm","avgt",1,5,4000100.694193,0.279057,"B/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetClone:gc.count","avgt",1,5,91.000000,NaN,"counts",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetClone:gc.time","avgt",1,5,93.000000,NaN,"ms",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetFromIterable","avgt",1,5,0.054253,0.000360,"ms/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetFromIterable:gc.alloc.rate","avgt",1,5,704.160650,4.647758,"MB/sec",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetFromIterable:gc.alloc.rate.norm","avgt",1,5,40064.187644,0.002363,"B/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetFromIterable:gc.count","avgt",1,5,33.000000,NaN,"counts",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetFromIterable:gc.time","avgt",1,5,26.000000,NaN,"ms",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetFromIterable","avgt",1,5,1.199377,0.010164,"ms/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetFromIterable:gc.alloc.rate","avgt",1,5,318.069740,2.686170,"MB/sec",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetFromIterable:gc.alloc.rate.norm","avgt",1,5,400068.160660,0.148492,"B/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetFromIterable:gc.count","avgt",1,5,15.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetFromIterable:gc.time","avgt",1,5,10.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetFromIterable","avgt",1,5,23.366030,0.328033,"ms/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetFromIterable:gc.alloc.rate","avgt",1,5,163.244112,2.299029,"MB/sec",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetFromIterable:gc.alloc.rate.norm","avgt",1,5,4000144.372093,0.000000,"B/op",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetFromIterable:gc.count","avgt",1,5,7.000000,NaN,"counts",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.javaTreeSetFromIterable:gc.time","avgt",1,5,8.000000,NaN,"ms",100000
"chaos.tree.benchmark.binary.ConstructionBenchmark.rbtClone","avgt",1,5,0.006698,0.000096,"ms/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.rbtClone:gc.alloc.rate","avgt",1,5,4560.348939,65.046598,"MB/sec",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.rbtClone:gc.alloc.rate.norm","avgt",1,5,32032.023211,0.000504,"B/op",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.rbtClone:gc.count","avgt",1,5,123.000000,NaN,"counts",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.rbtClone:gc.time","avgt",1,5,90.000000,NaN,"ms",1000
"chaos.tree.benchmark.binary.ConstructionBenchmark.rbtClone","avgt",1,5,0.086993,0.001998,"ms/op",10000
"chaos.tree.benchmark.binary.ConstructionBenchmark.rbtClone:gc.alloc.rate","avgt",1,5,3508.016131,80.183295,"MB/sec",10000
