"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete","sample",1,231661,201.814401,3.640238,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:099      cpu_atom/dTLB-loads/             #      0.0 %  dtlb_miss_rate           (0.37%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/L1-dcache-loads/","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/L1-dcache-stores/","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/L1-icache-load-misses/","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/LLC-load-misses/","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/LLC-loads/","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/LLC-store-misses/","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/LLC-stores/","sample",1,1,0.009989,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/branch-misses/","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/branches/","sample",1,1,9.528445,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/cycles/","sample",1,1,16.310697,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/dTLB-load-misses/","sample",1,1,0.005625,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/dTLB-loads/","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/dTLB-store-misses/","sample",1,1,0.000202,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/dTLB-stores/","sample",1,1,7.966155,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/iTLB-load-misses/","sample",1,1,0.002315,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_atom/instructions/","sample",1,1,66.062340,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/L1-dcache-loads/","sample",1,1,1055.982163,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/L1-dcache-stores/","sample",1,1,227.851975,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/L1-icache-load-misses/","sample",1,1,0.436908,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/LLC-load-misses/","sample",1,1,0.002074,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/LLC-loads/","sample",1,1,0.016581,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/LLC-store-misses/","sample",1,1,0.100414,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/LLC-stores/","sample",1,1,0.106043,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/branch-misses/","sample",1,1,0.229302,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/branches/","sample",1,1,801.805001,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/cycles/","sample",1,1,642.945186,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/dTLB-load-misses/","sample",1,1,0.007227,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/dTLB-loads/","sample",1,1,1057.521101,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/dTLB-store-misses/","sample",1,1,0.024981,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/dTLB-stores/","sample",1,1,228.170914,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/iTLB-load-misses/","sample",1,1,0.001847,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/instructions/","sample",1,1,3727.811811,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:gc.alloc.rate","sample",1,5,360.276822,46.327889,"MB/sec",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:gc.alloc.rate.norm","sample",1,5,64.019956,0.003978,"B/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:gc.count","sample",1,5,2.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:gc.time","sample",1,5,5.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:p0.00","sample",1,1,155.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:p0.50","sample",1,1,173.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:p0.90","sample",1,1,197.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:p0.95","sample",1,1,207.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:p0.99","sample",1,1,415.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:p0.999","sample",1,1,7061.408000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:p0.9999","sample",1,1,16762.860800,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:p1.00","sample",1,1,123904.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:perf","sample",1,1,NaN,NaN,"---",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete","sample",1,296768,58.717705,1.488152,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:024      cpu_core/LLC-loads/              #     30.9 %  llc_miss_rate            (7.29%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:129      cpu_atom/LLC-loads/              #      0.6 %  llc_miss_rate            (0.66%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:729      cpu_core/branch-misses/          #      0.0 %  branch_miss_rate         (10.90%)","sample",1,1,NaN,NaN,"#/op",10000
