"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete","sample",1,229446,206.526608,2.729346,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:086      cpu_core/L1-dcache-load-misses/  #      nan %  l1d_miss_rate            (24.20%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:524      cpu_core/branch-misses/          #      0.0 %  branch_miss_rate         (10.73%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/L1-dcache-loads/","sample",1,1,1049.929478,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/L1-dcache-stores/","sample",1,1,228.331953,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/L1-icache-load-misses/","sample",1,1,0.450982,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/LLC-load-misses/","sample",1,1,0.001918,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/LLC-loads/","sample",1,1,0.016787,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/LLC-store-misses/","sample",1,1,0.108736,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/LLC-stores/","sample",1,1,0.114314,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/branch-misses/","sample",1,1,0.099366,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/branches/","sample",1,1,812.012319,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/cycles/","sample",1,1,648.524093,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/dTLB-load-misses/","sample",1,1,0.017368,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/dTLB-loads/","sample",1,1,1054.406846,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/dTLB-store-misses/","sample",1,1,0.025200,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/dTLB-stores/","sample",1,1,229.158765,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/iTLB-load-misses/","sample",1,1,0.002435,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:cpu_core/instructions/","sample",1,1,3732.799956,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:gc.alloc.rate","sample",1,5,356.685794,69.709753,"MB/sec",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:gc.alloc.rate.norm","sample",1,5,64.017967,0.012922,"B/op",10000
